target_id,95_r1,105_r1,115_r1,125_r1,145_r1,160_r1,175_r1,190_r1,205_r1,220_r1,95_r2,105_r2,115_r2,125_r2,145_r2,160_r2,175_r2,190_r2,205_r2,220_r2,95_r3,105_r3,115_r3,125_r3,145_r3,160_r3,175_r3,190_r3,205_r3,220_r3
FBtr0302436,3.56094,3.71989,1.95494,2.72169,4.26696,2.06919,2.67664,2.33526,0.807201,1.91952,4.85083,6.34005,4.49149,3.59761,1.92836,3.76851,2.26142,1.99807,1.49079,1.9312,5.11836,5.60635,4.55757,4.45319,4.36509,1.65536,2.04893,2.08224,1.93758,1.69984
FBtr0078688,33.3813,38.474,32.6075,36.2032,29.2341,6.97469,3.93091,4.7908,1.36607,3.35365,55.407,61.4417,53.034,38.4526,18.2207,12.7483,4.04564,4.12426,3.1609,5.01627,57.9764,55.6118,44.3789,40.2116,21.1311,7.81509,3.19748,3.59341,4.42289,4.27432
FBtr0305002,12.5901,13.9028,12.5508,18.4188,23.3137,18.9748,27.512,19.7692,6.95611,29.6365,22.314,22.6657,13.3743,12.3908,15.1846,20.0962,25.0276,21.2134,20.9906,14.3997,18.0468,21.5487,12.2288,17.4036,15.474,13.674,16.6235,14.9829,13.8282,13.7356
FBtr0305001,1.58982,0.933871,2.22314,2.44794,0.901573,2.04613,4.94793,7.21017,0.966739,4.54049,11.52,6.20862,4.19051,2.09156,10.6141,8.19161,4.53344,5.11707,1.44616,2.30023,8.07632,3.01947,3.85439,5.18182,4.44444,1.72933,0.909936,2.37956,2.01424,1.91311
FBtr0078777,26.2663,32.8474,24.2904,32.9064,48.2863,39.2317,46.1194,69.962,22.896,38.9058,46.9994,44.7485,55.8148,28.8619,49.4458,48.1014,53.8597,42.3262,35.8654,31.4472,38.7221,41.4696,54.513,35.753,51.3611,24.671,44.6769,44.9703,39.2023,24.5608
FBtr0078949,56.1908,68.4682,60.2989,79.7966,92.6013,71.6772,84.8893,94.4719,36.8626,77.4441,99.8108,95.1205,101.504,74.3637,92.4716,98.2532,89.6546,80.1987,69.8221,65.3933,96.2033,90.9097,98.1348,78.1102,101.449,59.9936,67.3038,69.6195,67.5403,55.5623
FBtr0344215,0.732705,1.93224,0.644505,1.40984,2.2077,3.24217,2.18372,2.58631,1.78001,4.33092,0.827964,3.07379,1.43752,2.09304,2.99658,3.23108,2.26572,2.61054,5.03076,5.744,0.269994,1.77803,1.55956,2.72512,2.16302,1.2743,2.51791,2.8989,4.9185,4.20274
FBtr0113192,0.876231,1.64651,1.09034,1.00007,2.48148,0.48819,0.751954,1.39094,0.704734,0.802258,0.644592,0,0.568706,1.46437,0.60025,0.592406,0.841537,0.614261,1.45037,0.343118,0.509646,0.364718,0.126998,1.66793,1.17903,0.580743,0.777541,0.901501,0.823227,0.518261
FBtr0112377,0,0,0,0.0404751,0.0779147,0.706531,1.46769,1.64478,1.02633,1.44962,0,0,0.02289,0.178747,0.172834,0.253383,1.02186,1.50473,1.95212,1.91217,0,0.0565377,0.0823523,0.317242,0,0.770455,1.06041,1.32172,1.95373,2.52171
FBtr0112440,11.2116,12.6459,11.1964,16.1828,16.0295,12.1519,16.4051,14.2936,5.83889,8.6374,13.2027,13.2847,15.5092,12.5659,11.2722,14.0359,14.9153,11.8208,11.4561,8.2839,14.3287,16.2972,15.7917,17.087,15.6829,10.366,12.7795,12.536,12.0945,11.477
FBtr0300624,31.8072,31.9795,24.0322,23.9762,18.5581,8.42994,8.9863,12.546,4.64185,12.5602,53.8275,48.879,41.1413,19.4189,13.2844,16.449,9.51371,7.74092,10.0679,12.5498,45.1374,46.4166,30.8504,21.6596,14.0006,5.54272,7.95387,8.41436,7.92297,8.40925
FBtr0080638,0.00939621,0.0309769,0.0371305,0.216296,0.376852,0.31116,0.335139,0.534057,0.434884,0.985694,0,0.0542045,0.0883939,0.145654,0.313785,0.309309,0.287689,0.459791,1.1501,1.51061,0.0259299,0.0273238,0.0897956,0.13347,0.526949,0.107727,0.255805,0.380342,0.573347,2.0873
FBtr0087456,0.0373786,0.0527181,0,0,0.0320039,0,0.130968,0.0582852,0,0.0486308,0.0264684,0.177083,0.11328,0.0494868,0,0.0772734,0.143979,0.0810816,0.310896,0.120695,0,0,0.11608,0,0,0.16854,0.0324562,0.136174,0.251313,0.369347
FBtr0339274,3.97889,5.02761,5.01639,6.67737,4.80858,1.31142,1.89946,2.09139,3.03125,8.14601,4.3496,7.62247,5.00133,2.50965,3.97096,2.37286,2.63409,3.58956,7.12028,8.72112,3.60064,4.45518,5.55825,5.1909,3.17195,1.50229,2.01771,2.56355,5.09924,3.15188
FBtr0070300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309965,1.13526,0.81626,0.392558,0.679942,0.741742,0.376726,0,0.126698,0.346519,0.316666,0.719053,0.41446,0.306207,0.866235,0.108896,0.506106,0.611736,0.634956,0.532729,0.767707,0.969083,0.860729,0.16768,0.420525,0.635435,0.324509,0.524214,0.801523,0.987342,1.08908
FBtr0339272,0,0,0,0,0,0,0,0,1.79E-10,0,0,0.147093,0,0.0595986,0,0,0,0,0,3.46E-08,0,0,0,0,0,0,0,0,0,0.514012
FBtr0339273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0305499,0.176466,0.209497,0.0930547,0.100376,0.0960517,0.268038,1.575,0.69622,1.53316,1.89701,0.0556702,0,0.0793818,0,0.0798093,0.117036,0.936873,1.22047,1.95534,3.1213,0.0333755,0.0657177,0.0483835,0.0929997,0.0575902,0.237159,0.706119,1.59012,3.22688,2.24422
FBtr0309963,2.19158,1.90955,1.82799,0.774672,1.44097,2.61069,1.63695,1.54607,0.742719,1.3348,1.01214,0.379217,0.7551,1.95831,1.69334,0.937864,1.45522,0.558484,1.54097,2.40429,1.23908,0.430995,0.388183,0.886745,2.59702,1.06839,1.00806,1.6165,4.36626,3.41251
FBtr0307895,0,2.60E-06,0.841559,0,0,1.04961,1.62567,0.904541,3.11889,8.04714,0,2.80E-10,0,0.952321,2.29546,0,0.295276,1.59197,4.69732,5.7776,0.00170025,0,0,0.623185,1.3481,1.45E-10,1.38153,0.584842,4.40933,1.79843
FBtr0070299,4.99E-05,0.0471597,2.02741,0.801672,4.60458,0.000131865,1.04272,1.63292,0.590077,5.69385,5.0259,5.58606,4.38407,2.52355,3.6494,2.64087,0.00312454,0.0783939,0.219077,0.0451054,3.58421,2.62535,5.17395,1.72391,0.155126,1.34E-07,0.136763,4.23E-08,6.42E-08,0.00058702
FBtr0309961,0.836776,0.455046,0.0518018,0.42796,0.858251,2.62375,6.88724,9.15592,7.47952,14.2336,0.329409,0,0.761021,0.450993,0.546908,2.2031,9.01222,10.7786,15.4271,14.063,0.829475,0.694613,0.166401,0.400606,0.913159,3.30927,6.61083,9.76693,13.113,9.87745
FBtr0100557,0.553705,0.686832,0.422913,0.186933,0.045891,0.640587,5.2077,3.16999,4.11048,6.61305,0,0,0.24708,0,0,0,2.70872,4.42459,6.99723,8.10045,0.284571,0,0.145179,0.897792,2.35E-07,1.32279,2.30063,4.9216,7.24158,6.64798
FBtr0305498,2.88892,4.40224,2.41285,5.10617,4.34436,1.77149,0.972968,2.7782,0.0347579,1.42498,3.01697,1.57009,3.89249,2.74114,2.2163,2.82961,1.62806,1.07429,0.706708,0.922944,3.3845,2.45419,2.89303,3.66062,3.93543,2.00321,0.90909,0.933418,0.479552,0.237557
FBtr0305497,17.4807,20.1531,15.0716,23.7658,19.3028,9.64164,2.10368,4.7989,0.825099,1.81223,20.5227,17.0037,24.9008,21.0387,15.6662,16.1047,4.64448,4.19472,1.01778,3.63454,22.6464,24.2277,22.3219,21.688,18.2903,8.301,3.56006,2.85875,1.49665,0.158343
FBtr0309962,0,0.144854,0,0,0.478305,0,0,0,0,0,0,0.387826,0,0,0,0,0,0,0.22317,0,0.709667,0,0.492824,0,0,0,0.0851476,0.181796,0,0
FBtr0339835,0,0,0,0,0,0,0,0.180263,0,0.425411,0,0,0,0,0,0,0.0782935,0,0.0973017,0.630078,0,0,0,0,0,0,0.101272,0,0.281775,0.304801
FBtr0073382,0.188335,0.0532292,0.0706577,0.139964,0.107704,0.133111,0.179028,0.23689,0,0.232865,0.112577,0,0.0157883,0.0826222,0.0596778,0.175602,0.58571,0.314908,0.346549,0,0.0148089,0.27313,0.113796,0,0.170874,0.111924,0.269393,0.503242,0,0
FBtr0100446,40.1169,43.681,39.5568,50.8251,64.3005,52.2807,69.3821,71.5268,17.4548,25.9296,63.5413,57.6611,65.5532,51.1334,66.4578,65.3796,73.8401,60.6363,44.2647,24.6354,66.0009,61.9228,62.8479,58.5089,59.6112,44.7732,61.3292,56.9209,37.0525,23.7066
FBtr0070992,49.7906,61.2488,59.7741,69.1822,89.623,61.2631,76.7485,75.4268,18.6505,38.0723,75.3583,67.4101,74.6084,80.5891,70.6625,73.4273,76.3857,46.6594,39.9263,33.9769,81.9178,82.0128,79.8727,82.8844,82.1509,59.9266,64.5768,67.3589,31.0627,44.9134
FBtr0089855,0.689036,1.05949,0.743339,1.40207,1.55844,1.39861,1.48223,2.45239,0.880201,2.20958,1.19603,1.08793,0.884091,0.493908,1.19267,1.89826,1.63834,1.83525,2.16979,1.75836,0.834002,1.27926,1.42737,0.950146,0.826082,1.08771,1.57555,1.42771,1.51475,2.61783
FBtr0340230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0079744,0,0,0,0,0,0,0,0.00969328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148757,0,0,0,0,0.00894692,0.00969598
FBtr0076017,6.99243,9.5945,7.66851,8.62652,7.03752,4.42474,2.46041,4.7205,1.47028,3.74491,13.2756,11.824,9.53817,6.62857,7.37928,8.15969,3.42435,2.19324,3.58617,3.76413,11.0396,17.11,13.5682,10.203,5.99397,2.44547,3.27013,1.41619,1.51081,2.15947
FBtr0076018,1.22822,2.38248,1.60775,2.35937,2.27145,0.372577,1.03851,0.755366,0.713194,2.8073,1.06544,1.19912,1.52154,0.842948,1.2024,0.826563,1.05615,0.793961,1.94522,3.15365,2.35523,1.94862,1.64295,1.09969,2.37173,0.87237,1.26583,1.56749,1.86504,2.6194
FBtr0301210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0300335,0,0,0,0,0.0184092,0,0,0.0242746,0.0970796,0,0,0,0,0,0,0.0482128,0,0,0,0,0,0,0,0,0,0.0191455,0,0,0,0.0242917
FBtr0071549,30.8147,31.485,29.6002,40.5658,48.3116,34.063,34.9566,39.094,6.32816,15.8874,49.622,46.4185,50.9719,36.0449,45.0642,54.5591,37.2631,18.2995,15.1503,18.0008,46.8388,47.6724,50.0414,43.4459,46.7459,27.4233,25.6227,18.996,15.4017,12.2798
FBtr0334875,0,0,0,0.0333323,0,0,0.0402416,0.0238895,0,0,0,0,0,0,0.040216,0,0,0,0.0186695,0.0145527,0,0.0262792,0,0.0876652,0,0,0.0051266,0,0,0
FBtr0334874,0,0.0045381,0.0181406,0.0233151,0.00690437,0,0,0,0.0637471,0.0608624,0,0,0.0323841,0.0213681,0,0.0362973,0.0294224,0.0142333,0.0618348,0.0914288,0,0,0,0.0225332,0,0.0215282,0.00817923,0.00930011,0.00839996,0.10014
FBtr0088523,0.242596,0.124171,0,0.186789,0.631919,0.378988,0,0.832253,0,0.16372,0.919865,0.89597,1.02219,0.307713,0.436007,0.386291,0,0.361563,0.136872,0,0.222575,0.206675,0.318705,1.24853,0.216898,0.111294,0.246998,0.433427,0,0
FBtr0088522,7.98242,8.5277,5.9044,9.31644,8.50118,4.66629,6.46684,7.82346,1.86441,2.5756,15.8738,12.8343,11.4168,7.92006,9.66835,8.41675,6.73462,4.32041,2.78308,0.628259,13.372,8.59979,11.1831,8.59012,7.64335,6.36334,5.32043,5.76065,1.83771,1.23551
FBtr0088521,0.000237693,1.07058,1.56774,1.7194,2.92634,2.18095,4.06241,2.47464,0.541138,1.69085,0,0,2.58448,1.65327,1.14869,2.94647,2.91024,1.81119,1.76067,1.74807,0,2.57386,0.915806,0.493021,0.425081,1.77904,1.76871,1.09422,2.00469,3.13171
FBtr0334153,47.8624,51.9468,27.7306,29.7662,30.8101,5.74428,3.68995,0.262507,0.34635,0.926257,12.5759,11.408,15.3254,24.6533,11.4856,5.17415,0.915777,1.20686,1.36406,2.47028,14.3742,12.4021,19.0806,30.0293,29.0291,6.10911,1.41731,2.26076,2.03064,2.58234
FBtr0082484,92.8048,105.521,121.702,167.212,144.92,43.4996,11.643,16.2865,5.74805,12.4158,203.025,182.792,198.098,132.705,104.9,104.91,17.1627,10.3598,9.27506,17.1223,182.441,176.551,195.123,165.624,139.357,34.525,11.0992,8.02543,9.06069,8.6519
FBtr0333243,0,0,0,0,0,0,0,0.13083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0080103,0,0,0,0,0.0168336,0,0,0.0110954,0,0.111257,0,0.0323013,0,0,0,0,0.0298872,0,0.0466982,0.0591067,0,0,0,0,0,0,0.0432316,0.0396575,0.143397,0.199781
FBtr0100142,0,0.0108158,0,0,0,0.215883,0,1.61E-06,0,2.97E-05,0.0213089,0,0,0.212759,0,0,0,0.0178486,0.0276197,0.0680874,0.0233808,0.165772,0.0517533,0,0.150079,0.101669,0,0,0,0.0574469
FBtr0332497,0.475893,0.437074,0.512076,0.566343,0.762004,0.499677,0.899838,0.627745,0.389495,0.902666,0.437559,0.857404,0.721497,2.78951,0.891718,0.547665,0.737027,0.403939,0.745778,1.29524,0.843741,0.570964,0.454318,0.687118,0.395871,0.590363,0.631923,0.488297,0.626125,0.589664
FBtr0074073,0,0,0,0,0,0,0,0.0555855,0.0100573,0.0249663,0,0,0,8.29E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298934,0
FBtr0340082,4.5594,3.9972,6.09862,5.27649,6.27881,10.3649,9.39081,14.4684,4.92193,10.9234,8.8411,0.602966,6.8842,9.03456,11.4068,3.02868,9.44264,16.9489,14.7278,12.1783,14.227,10.6957,9.84373,4.38872,6.44656,5.87542,11.2898,10.6923,13.4552,7.98786
FBtr0340081,0.529593,0.840552,0.727763,0,1.01875,1.30426,1.6964,1.97078,0.329233,1.18892,0.807143,1.32921,0.690703,0.145572,1.2224,0,1.1123,1.20072,1.13134,1.91667,0.572703,1.32055,0.90255,1.12444,0.914541,0.595367,1.35363,1.00511,1.1595,1.91427
FBtr0070120,20.4771,27.5594,24.3219,24.7807,38.3066,27.6946,39.7549,56.7995,17.0995,26.743,38.3403,34.8635,42.2039,31.3763,44.5943,36.9596,48.6376,45.4673,38.9756,28.347,33.5916,33.8736,28.6946,31.202,25.9329,25.8148,38.734,42.4018,35.4687,38.5124
FBtr0100039,0.268393,2.5093,0,0,0,0,7.52E-09,0,2.53503,0,0,0,0,0,0,0,0,0,1.07E-06,3.32E-10,0,0,0,0,0,0,0,1.46E-07,2.61172,7.8577
FBtr0306622,0.526,1.27637,2.01748,1.19277,2.65027,0.902465,4.59966,4.54302,0.831425,1.92707,1.23036,1.5894,2.31244,0.789606,0.73251,1.49196,4.84171,3.47812,2.14676,2.51288,1.49762,2.9227,1.3378,1.466,0.534835,3.46426,5.84862,4.73088,2.33223,4.06774
